budgetID,userID,catID,budgetStartDate,budgetEndDate,budgetLimit,budgetName,budgetDesc,budgetFreq
e5a123b9-cf57-4eab-a670-f3a65f7ab93e,550e8400-e29b-41d4-a716-446655440000,6dab2073-ff40-4704-8a15-0d3593de8c52,2026-06-01,2026-06-30,400.0,Food Budget,Monthly spending on food,monthly
31fa82bf-26da-4ada-ab01-4a01477b971a,550e8400-e29b-41d4-a716-446655440000,26834e16-112d-49cd-bdc2-f5c8c7c1144e,2026-06-01,2026-06-30,120.0,Transport Budget,Public transport spending,monthly
d5423f69-08cf-4445-9267-cf76c0e050fd,86716dc1-061e-4879-bd5b-ab4701d22dc6,e5844fa7-c620-4d55-a4b4-2b4d437950fb,2026-06-01,2026-06-30,100.0,Utilities Budget,Bills and utilities,monthly
13cd2288-611e-4c45-8e2e-c7750aca86a3,bbeb7d1c-4820-481a-84b6-302371fb9a50,26834e16-112d-49cd-bdc2-f5c8c7c1144e,2026-05-31,2026-06-29,100.0,Transport,🚍|,monthly
ca1b80e6-b308-453c-913e-f549eff8bda7,bbeb7d1c-4820-481a-84b6-302371fb9a50,6dab2073-ff40-4704-8a15-0d3593de8c52,2026-06-01,2026-06-30,200.0,Food,🍔|...,monthly
9c5086bb-068d-4fa1-b1ee-bb6f444494f3,bbeb7d1c-4820-481a-84b6-302371fb9a50,e5844fa7-c620-4d55-a4b4-2b4d437950fb,2026-06-01,2026-06-30,50.0,Bills,💡|,monthly
66343114-a46f-40f2-a2dd-fc9029758372,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,6dab2073-ff40-4704-8a15-0d3593de8c52,2026-07-01,2026-07-31,200.0,Food,🍔|testing budget,monthly
4101a3c1-c1ae-4dc2-9983-f711f48acb4a,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,6dab2073-ff40-4704-8a15-0d3593de8c52,2026-07-01,2026-07-31,200.0,Food,🍔|,monthly
e91ea73b-b363-4f4c-ac64-cb850906cb3f,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,26834e16-112d-49cd-bdc2-f5c8c7c1144e,2025-07-10,2025-08-09,152.39,Transport Budget,Monthly transport spending,monthly
ff6b8afb-63e6-4679-91af-11e90a3eb711,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,51efabd6-edc4-48c6-8e69-a4d2cc58ca34,2025-07-10,2025-08-09,113.62,Entertainment Budget,Monthly entertainment spending,monthly
f93bda06-a8a6-4b76-9832-84ffd85f71b1,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,26834e16-112d-49cd-bdc2-f5c8c7c1144e,2025-08-10,2025-09-09,150.67,Transport Budget,Monthly transport spending,monthly
79d10640-a1d3-4cba-8c14-a13303a2b4b5,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,6dab2073-ff40-4704-8a15-0d3593de8c52,2025-08-10,2025-09-09,274.33,Food & Dining Budget,Monthly food & dining spending,monthly
ebf6d433-6678-4ae2-abd1-f7ac6aeedd02,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,e5844fa7-c620-4d55-a4b4-2b4d437950fb,2025-08-10,2025-09-09,178.73,Utilities Budget,Monthly utilities spending,monthly
ef2c25e8-a9dc-4ee9-9363-0a25aae95c47,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,6dab2073-ff40-4704-8a15-0d3593de8c52,2025-09-10,2025-10-09,292.95,Food & Dining Budget,Monthly food & dining spending,monthly
fd8cc658-9004-40cd-8042-dfe53282ce3c,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,26834e16-112d-49cd-bdc2-f5c8c7c1144e,2025-09-10,2025-10-09,105.71,Transport Budget,Monthly transport spending,monthly
e96f7c74-cfbe-4775-a292-a5e2aacba7ea,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,e5844fa7-c620-4d55-a4b4-2b4d437950fb,2025-09-10,2025-10-09,259.48,Utilities Budget,Monthly utilities spending,monthly
a82dc000-612a-4162-9cd2-2a34fe068fa9,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,51efabd6-edc4-48c6-8e69-a4d2cc58ca34,2025-09-10,2025-10-09,119.02,Entertainment Budget,Monthly entertainment spending,monthly
5c245055-6c03-43b0-b853-dba73bb15e04,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,51efabd6-edc4-48c6-8e69-a4d2cc58ca34,2025-10-10,2025-11-09,134.22,Entertainment Budget,Monthly entertainment spending,monthly
ca1bcea8-d769-4463-8627-f8869f2b3939,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,26834e16-112d-49cd-bdc2-f5c8c7c1144e,2025-10-10,2025-11-09,141.2,Transport Budget,Monthly transport spending,monthly
33943c34-9942-4677-bbb6-e4be6ad6751f,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,26834e16-112d-49cd-bdc2-f5c8c7c1144e,2025-11-10,2025-12-09,149.1,Transport Budget,Monthly transport spending,monthly
b1c40366-f5c7-4be5-8efc-ddc7dc3cdc1b,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,6dab2073-ff40-4704-8a15-0d3593de8c52,2025-11-10,2025-12-09,291.59,Food & Dining Budget,Monthly food & dining spending,monthly
b93109b7-4f8e-4b95-a173-51354e846284,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,26834e16-112d-49cd-bdc2-f5c8c7c1144e,2025-12-10,2026-01-09,149.0,Transport Budget,Monthly transport spending,monthly
c109c65f-ec15-4a8e-b7a0-e35d54a121a7,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,51efabd6-edc4-48c6-8e69-a4d2cc58ca34,2025-12-10,2026-01-09,119.46,Entertainment Budget,Monthly entertainment spending,monthly
79165ef6-1871-416a-941b-84f92ad90aa4,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,6dab2073-ff40-4704-8a15-0d3593de8c52,2025-12-10,2026-01-09,236.54,Food & Dining Budget,Monthly food & dining spending,monthly
6cb6a9d8-4f1e-4706-857a-b30dcb67b473,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,e5844fa7-c620-4d55-a4b4-2b4d437950fb,2026-01-10,2026-02-09,232.9,Utilities Budget,Monthly utilities spending,monthly
ba2dc265-68ba-44e4-96a0-a652486f6394,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,26834e16-112d-49cd-bdc2-f5c8c7c1144e,2026-01-10,2026-02-09,113.37,Transport Budget,Monthly transport spending,monthly
66d7bf33-7ce7-4d66-9a88-37327962f637,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,51efabd6-edc4-48c6-8e69-a4d2cc58ca34,2026-01-10,2026-02-09,128.35,Entertainment Budget,Monthly entertainment spending,monthly
766f1429-42c0-45b5-96ba-d77a939e39ba,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,6dab2073-ff40-4704-8a15-0d3593de8c52,2026-01-10,2026-02-09,182.42,Food & Dining Budget,Monthly food & dining spending,monthly
7b86a090-1b94-4def-8460-774cbc997d94,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,6dab2073-ff40-4704-8a15-0d3593de8c52,2026-02-10,2026-03-09,344.31,Food & Dining Budget,Monthly food & dining spending,monthly
8c533246-38ed-437c-a090-290c1aa0ad80,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,26834e16-112d-49cd-bdc2-f5c8c7c1144e,2026-02-10,2026-03-09,155.14,Transport Budget,Monthly transport spending,monthly
59159012-cc09-4fce-9d8e-411551b222dc,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,51efabd6-edc4-48c6-8e69-a4d2cc58ca34,2026-02-10,2026-03-09,115.37,Entertainment Budget,Monthly entertainment spending,monthly
f9e8289d-f44b-4602-aca2-656baa0eb4eb,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,e5844fa7-c620-4d55-a4b4-2b4d437950fb,2026-03-10,2026-04-09,187.96,Utilities Budget,Monthly utilities spending,monthly
a23cb4e0-f6c9-4429-95cd-bd8fb3d2a89f,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,26834e16-112d-49cd-bdc2-f5c8c7c1144e,2026-03-10,2026-04-09,163.82,Transport Budget,Monthly transport spending,monthly
c370dba4-5b5d-45f5-9fd8-c3f58c8675b5,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,51efabd6-edc4-48c6-8e69-a4d2cc58ca34,2026-04-10,2026-05-09,123.44,Entertainment Budget,Monthly entertainment spending,monthly
ef91487d-b961-49ca-8e32-a8f6d5484454,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,6dab2073-ff40-4704-8a15-0d3593de8c52,2026-04-10,2026-05-09,187.46,Food & Dining Budget,Monthly food & dining spending,monthly
eb2a05de-26d0-4f8c-ab02-f539571e4192,122c0ab9-bd89-4213-a59b-d8c5585a0c5f,51efabd6-edc4-48c6-8e69-a4d2cc58ca34,2026-05-10,2026-06-09,65.33,Entertainment Budget,Monthly entertainment spending,monthly
