transID,userID,catID,transAmt,transDate,createdAt,updatedAt,transDesc,transPaymentMethod
abb0d49b-0bad-467b-900a-24d501ed7e34,550e8400-e29b-41d4-a716-446655440000,6dab2073-ff40-4704-8a15-0d3593de8c52,25.5,2026-06-10,2026-06-11 19:23:59.582286,2026-06-11 19:23:59.582286,Dinner at hawker center,Cash
3d300f28-1510-47b2-a7ed-db8442979c92,550e8400-e29b-41d4-a716-446655440000,26834e16-112d-49cd-bdc2-f5c8c7c1144e,2.0,2026-06-09,2026-06-11 19:23:59.582286,2026-06-11 19:23:59.582286,MRT fare to work,EZ-Link
ef96d48a-c0b8-47cd-bf62-92ef3b2f281f,550e8400-e29b-41d4-a716-446655440000,cc8cf728-fe77-4f13-b7dd-9de973ae6183,5000.0,2026-06-01,2026-06-11 19:23:59.582286,2026-06-11 19:23:59.582286,Monthly salary credited,Bank Transfer
c057b01b-0d61-49d8-9d6e-3fe0ab9ece59,86716dc1-061e-4879-bd5b-ab4701d22dc6,6dab2073-ff40-4704-8a15-0d3593de8c52,18.9,2026-06-11,2026-06-11 19:23:59.582286,2026-06-11 19:23:59.582286,Lunch at food court,Cash
a2ad58e2-0903-4f91-85d6-a12d8285a6d8,86716dc1-061e-4879-bd5b-ab4701d22dc6,e5844fa7-c620-4d55-a4b4-2b4d437950fb,60.0,2026-06-08,2026-06-11 19:23:59.582286,2026-06-11 19:23:59.582286,Internet bill payment,Credit Card
c98e648f-588f-4691-8c4d-c5a0c6429dba,86716dc1-061e-4879-bd5b-ab4701d22dc6,cc8cf728-fe77-4f13-b7dd-9de973ae6183,4200.0,2026-06-01,2026-06-11 19:23:59.582286,2026-06-11 19:23:59.582286,Monthly salary credited,Bank Transfer
79462b15-cc37-496b-8afc-484954b393bf,bbeb7d1c-4820-481a-84b6-302371fb9a50,51efabd6-edc4-48c6-8e69-a4d2cc58ca34,10.0,2026-06-23,2026-06-28 03:15:47.459400,2026-06-28 04:11:02.341645,popular,Cash
e6888efb-2796-4c29-ae0c-9521af46f166,bbeb7d1c-4820-481a-84b6-302371fb9a50,26834e16-112d-49cd-bdc2-f5c8c7c1144e,80.0,2026-06-24,2026-06-27 13:35:45.980791,2026-06-28 04:13:07.174786,grab,Cash
27662b91-ce9f-495c-9fb4-1fdec201e123,bbeb7d1c-4820-481a-84b6-302371fb9a50,6dab2073-ff40-4704-8a15-0d3593de8c52,10.0,2026-06-26,2026-06-28 04:01:21.916638,2026-06-28 04:45:24.167312,McDonald's,Cash
5f21284d-128e-48ad-a35c-d19da67dd7d6,bbeb7d1c-4820-481a-84b6-302371fb9a50,e5844fa7-c620-4d55-a4b4-2b4d437950fb,20.0,2026-06-27,2026-06-28 04:05:42.730887,2026-06-28 04:45:39.447960,water bill,Cash
